id,billed_cost,effective_cost,list_cost,contracted_cost,billing_account_id,billing_account_name,billing_account_type,sub_account_id,sub_account_name,sub_account_type,billing_period_start,billing_period_end,charge_period_start,charge_period_end,billing_currency,pricing_currency,service_name,service_category,provider_name,publisher_name,invoice_issuer_name,charge_category,charge_class,charge_description,pricing_quantity,pricing_unit,sku_id,sku_price_id,sku_meter,sku_price_details,list_unit_price,contracted_unit_price,resource_id,resource_name,resource_type,region_id,region_name,availability_zone,capacity_reservation_id,capacity_reservation_status,commitment_discount_id,commitment_discount_type,commitment_discount_category,commitment_discount_name,commitment_discount_status,commitment_discount_quantity,commitment_discount_unit,consumed_quantity,consumed_unit,tags,pricing_category,pricing_currency_contracted_unit_price,pricing_currency_effective_cost,pricing_currency_list_unit_price,service_subcategory,charge_frequency,invoice_id,invoice_issuer,x_provider_data,x_raw_billing_data_id,x_provider_id,x_created_at,x_updated_at,_dlt_load_id,_dlt_id
018643cd-f3c8-4feb-9b17-6bef75742ef0,0.011712,0.011712,0.011712,0.011712,123456186370945b56,123456186370945b56,BillingAccount,123456186370945b56,,Account,2025-07-01 00:00:00.000000,2025-07-31 23:59:59.000000,2025-07-19 12:00:00.000000,2025-07-19 13:00:00.000000,USD,,AWS Lambda,Compute,Amazon Web Services,Amazon Web Services,Amazon Web Services,Usage,,AWS Lambda EUW1-Lambda-GB-Second,702.73,GB-Second,aws-awslambda-usage,AWSLambda-EUW1-Lambda-GB-Second-20250719,,,1.66667e-05,0.0,arn:aws:lambda:eu-west-1:123456186370945b56:function:demo-fe9ef214,demo-function-b465fec5,,eu-west-1,EU (Ireland),,,,,,,,,,,702.73,GB-Second,,,,,,Serverless Functions,Usage-Based,,,"{""bill_BillType"": ""Anniversary"", ""lineItem_LineItemType"": ""Usage"", ""lineItem_ProductCode"": ""AWSLambda""}",,16930d27-0405-4f26-a368-28ea0f88fee7,2025-07-22 13:44:18,2025-07-22 13:44:18,1753191857.9682343,yLlg1N6gUIGTlA
01a1285f-ceaf-4dce-917e-f0b418c59a6b,2.246013,2.246013,2.246013,2.246013,123456186370945b56,123456186370945b56,BillingAccount,123456186370945b56,,Account,2025-07-01 00:00:00.000000,2025-07-31 23:59:59.000000,2025-07-19 12:00:00.000000,2025-07-19 13:00:00.000000,USD,,Amazon Simple Storage Service,Storage,Amazon Web Services,Amazon Web Services,Amazon Web Services,Usage,,Amazon Simple Storage Service EUW1-TimedStorage-ByteHrs,97.652719,GB-Mo,aws-amazons3-usage,AmazonS3-EUW1-TimedStorage-ByteHrs-20250719,,,0.023,0.0,jaws-map-cur-bucket,demo-bucket-801f391a,,eu-west-1,EU (Ireland),,,,,,,,,,,97.652719,GB-Mo,,,,,,,Usage-Based,,,"{""bill_BillType"": ""Anniversary"", ""lineItem_LineItemType"": ""Usage"", ""lineItem_ProductCode"": ""AmazonS3""}",,16930d27-0405-4f26-a368-28ea0f88fee7,2025-07-22 13:44:18,2025-07-22 13:44:18,1753191857.9682343,oT2XyZhE7WBwew
01cb7f51-b221-48a7-a0c6-86fd65065a9a,0.017,0.017,0.017,0.017,123456186370945b56,123456186370945b56,BillingAccount,123456186370945b56,,Account,2025-07-01 00:00:00.000000,2025-07-31 23:59:59.000000,2025-07-19 05:00:00.000000,2025-07-19 06:00:00.000000,USD,,Amazon Relational Database Service,Databases,Amazon Web Services,Amazon Web Services,Amazon Web Services,Usage,,Amazon Relational Database Service EUW1-InstanceUsage:db.t3.micro,1.0,Hrs,aws-amazonrds-usage,AmazonRDS-EUW1-InstanceUsage:db.t3.micro-20250719,,,0.017,0.0,arn:aws:rds:eu-west-1:123456186370945b56:db:demo-fb0453ce,demo-db-6e8f2936,,eu-west-1,EU (Ireland),,,,,,,,,,,1.0,Hrs,,,,,,,Usage-Based,,,"{""bill_BillType"": ""Anniversary"", ""lineItem_LineItemType"": ""Usage"", ""lineItem_ProductCode"": ""AmazonRDS"", ""product_instanceType"": ""db.t3.micro""}",,16930d27-0405-4f26-a368-28ea0f88fee7,2025-07-22 13:44:18,2025-07-22 13:44:18,1753191857.9682343,mpg84V07ooal4g
02351559-93ed-4c50-8986-4a1b52fc2ba3,0.0116,0.0116,0.0116,0.0116,123456186370945b56,123456186370945b56,BillingAccount,123456186370945b56,,Account,2025-07-01 00:00:00.000000,2025-07-31 23:59:59.000000,2025-07-19 21:00:00.000000,2025-07-19 22:00:00.000000,USD,,Amazon Elastic Compute Cloud,Compute,Amazon Web Services,Amazon Web Services,Amazon Web Services,Usage,,Amazon Elastic Compute Cloud EUW1-BoxUsage:t3.micro,1.0,Hrs,aws-amazonec2-usage,AmazonEC2-EUW1-BoxUsage:t3.micro-20250719,,,0.0116,0.0,i-0a1b2c3d4e5f67890,i-df2a30410f14,,eu-west-1,EU (Ireland),,,,,,,,,,,1.0,Hrs,,,,,,,Usage-Based,,,"{""bill_BillType"": ""Anniversary"", ""lineItem_LineItemType"": ""Usage"", ""lineItem_ProductCode"": ""AmazonEC2"", ""product_instanceType"": ""t3.micro"", ""product_operatingSystem"": ""Linux/UNIX""}",,16930d27-0405-4f26-a368-28ea0f88fee7,2025-07-22 13:44:18,2025-07-22 13:44:18,1753191857.9682343,KfrNMVIabu94qQ
02ca7e28-561e-4d57-9013-f0027a86d04a,0.002353,0.002353,0.002353,0.002353,123456186370945b56,123456186370945b56,BillingAccount,123456186370945b56,,Account,2025-07-01 00:00:00.000000,2025-07-31 23:59:59.000000,2025-07-16 17:00:00.000000,2025-07-16 18:00:00.000000,USD,,AWS Lambda,Compute,Amazon Web Services,Amazon Web Services,Amazon Web Services,Usage,,AWS Lambda EUW1-Lambda-GB-Second,141.16,GB-Second,aws-awslambda-usage,AWSLambda-EUW1-Lambda-GB-Second-20250716,,,1.66667e-05,0.0,arn:aws:lambda:eu-west-1:123456186370945b56:function:demo-fe9ef214,demo-function-b465fec5,,eu-west-1,EU (Ireland),,,,,,,,,,,141.16,GB-Second,,,,,,Serverless Functions,Usage-Based,,,"{""bill_BillType"": ""Anniversary"", ""lineItem_LineItemType"": ""Usage"", ""lineItem_ProductCode"": ""AWSLambda""}",,16930d27-0405-4f26-a368-28ea0f88fee7,2025-07-22 13:44:18,2025-07-22 13:44:18,1753191857.9682343,5jJ808ijHZy1zQ
051bc691-4dc0-424f-b9fb-f960f28a547a,0.0116,0.0116,0.0116,0.0116,123456186370945b56,123456186370945b56,BillingAccount,123456186370945b56,,Account,2025-07-01 00:00:00.000000,2025-07-31 23:59:59.000000,2025-07-15 21:00:00.000000,2025-07-15 22:00:00.000000,USD,,Amazon Elastic Compute Cloud,Compute,Amazon Web Services,Amazon Web Services,Amazon Web Services,Usage,,Amazon Elastic Compute Cloud EUW1-BoxUsage:t3.micro,1.0,Hrs,aws-amazonec2-usage,AmazonEC2-EUW1-BoxUsage:t3.micro-20250715,,,0.0116,0.0,i-0a1b2c3d4e5f67890,i-df2a30410f14,,eu-west-1,EU (Ireland),,,,,,,,,,,1.0,Hrs,,,,,,,Usage-Based,,,"{""bill_BillType"": ""Anniversary"", ""lineItem_LineItemType"": ""Usage"", ""lineItem_ProductCode"": ""AmazonEC2"", ""product_instanceType"": ""t3.micro"", ""product_operatingSystem"": ""Linux/UNIX""}",,16930d27-0405-4f26-a368-28ea0f88fee7,2025-07-22 13:44:18,2025-07-22 13:44:18,1753191857.9682343,sbcz/q+npLfCxA
074e20dc-4eed-4b35-912b-d19212e2ce6a,0.00263,0.00263,0.00263,0.00263,123456186370945b56,123456186370945b56,BillingAccount,123456186370945b56,,Account,2025-07-01 00:00:00.000000,2025-07-31 23:59:59.000000,2025-07-15 19:00:00.000000,2025-07-15 20:00:00.000000,USD,,AWS Lambda,Compute,Amazon Web Services,Amazon Web Services,Amazon Web Services,Usage,,AWS Lambda EUW1-Lambda-GB-Second,157.82,GB-Second,aws-awslambda-usage,AWSLambda-EUW1-Lambda-GB-Second-20250715,,,1.66667e-05,0.0,arn:aws:lambda:eu-west-1:123456186370945b56:function:demo-fe9ef214,demo-function-b465fec5,,eu-west-1,EU (Ireland),,,,,,,,,,,157.82,GB-Second,,,,,,Serverless Functions,Usage-Based,,,"{""bill_BillType"": ""Anniversary"", ""lineItem_LineItemType"": ""Usage"", ""lineItem_ProductCode"": ""AWSLambda""}",,16930d27-0405-4f26-a368-28ea0f88fee7,2025-07-22 13:44:18,2025-07-22 13:44:18,1753191857.9682343,bxc7a2lpA79aeA
07d2145f-23c0-404e-9160-59d263c9f9ad,0.010734,0.010734,0.010734,0.010734,123456186370945b56,123456186370945b56,BillingAccount,123456186370945b56,,Account,2025-07-01 00:00:00.000000,2025-07-31 23:59:59.000000,2025-07-15 03:00:00.000000,2025-07-15 04:00:00.000000,USD,,AWS Lambda,Compute,Amazon Web Services,Amazon Web Services,Amazon Web Services,Usage,,AWS Lambda EUW1-Lambda-GB-Second,644.01,GB-Second,aws-awslambda-usage,AWSLambda-EUW1-Lambda-GB-Second-20250715,,,1.66667e-05,0.0,arn:aws:lambda:eu-west-1:123456186370945b56:function:demo-fe9ef214,demo-function-b465fec5,,eu-west-1,EU (Ireland),,,,,,,,,,,644.01,GB-Second,,,,,,Serverless Functions,Usage-Based,,,"{""bill_BillType"": ""Anniversary"", ""lineItem_LineItemType"": ""Usage"", ""lineItem_ProductCode"": ""AWSLambda""}",,16930d27-0405-4f26-a368-28ea0f88fee7,2025-07-22 13:44:18,2025-07-22 13:44:18,1753191857.9682343,VzYHTwvY4wr2Bg
07d7b3ed-6a48-4cf6-9a59-e871f23a5ca7,0.017,0.017,0.017,0.017,123456186370945b56,123456186370945b56,BillingAccount,123456186370945b56,,Account,2025-07-01 00:00:00.000000,2025-07-31 23:59:59.000000,2025-07-17 22:00:00.000000,2025-07-17 23:00:00.000000,USD,,Amazon Relational Database Service,Databases,Amazon Web Services,Amazon Web Services,Amazon Web Services,Usage,,Amazon Relational Database Service EUW1-InstanceUsage:db.t3.micro,1.0,Hrs,aws-amazonrds-usage,AmazonRDS-EUW1-InstanceUsage:db.t3.micro-20250717,,,0.017,0.0,arn:aws:rds:eu-west-1:123456186370945b56:db:demo-fb0453ce,demo-db-6e8f2936,,eu-west-1,EU (Ireland),,,,,,,,,,,1.0,Hrs,,,,,,,Usage-Based,,,"{""bill_BillType"": ""Anniversary"", ""lineItem_LineItemType"": ""Usage"", ""lineItem_ProductCode"": ""AmazonRDS"", ""product_instanceType"": ""db.t3.micro""}",,16930d27-0405-4f26-a368-28ea0f88fee7,2025-07-22 13:44:18,2025-07-22 13:44:18,1753191857.9682343,C9kTm3Gv/vsJiA
085e3c67-8873-4286-a6ae-e6a0e837ebdc,0.0116,0.0116,0.0116,0.0116,123456186370945b56,123456186370945b56,BillingAccount,123456186370945b56,,Account,2025-07-01 00:00:00.000000,2025-07-31 23:59:59.000000,2025-07-19 20:00:00.000000,2025-07-19 21:00:00.000000,USD,,Amazon Elastic Compute Cloud,Compute,Amazon Web Services,Amazon Web Services,Amazon Web Services,Usage,,Amazon Elastic Compute Cloud EUW1-BoxUsage:t3.micro,1.0,Hrs,aws-amazonec2-usage,AmazonEC2-EUW1-BoxUsage:t3.micro-20250719,,,0.0116,0.0,i-0a1b2c3d4e5f67890,i-df2a30410f14,,eu-west-1,EU (Ireland),,,,,,,,,,,1.0,Hrs,,,,,,,Usage-Based,,,"{""bill_BillType"": ""Anniversary"", ""lineItem_LineItemType"": ""Usage"", ""lineItem_ProductCode"": ""AmazonEC2"", ""product_instanceType"": ""t3.micro"", ""product_operatingSystem"": ""Linux/UNIX""}",,16930d27-0405-4f26-a368-28ea0f88fee7,2025-07-22 13:44:18,2025-07-22 13:44:18,1753191857.9682343,8ZLSneK8WMWm6w
